striker,team,avg_runs,recent_runs,strike_rate
Abdul Samad,LSG,27.0,27.0,2700.0
Abhishek Sharma,SRH,21.0,21.0,2100.0
Abishek Porel,DC,33.5,33.5,3350.0
Angkrish Raghuvanshi,KKR,32.0,32.666666666666664,3200.0
Aniket Verma,SRH,42.666666666666664,42.666666666666664,4266.666666666666
Ashutosh Sharma,DC,66.0,66.0,6600.0
Axar,DC,21.5,21.5,2150.0
Ayush Badoni,LSG,35.5,35.5,3550.0
Azmatullah,PBKS,16.0,16.0,1600.0
Buttler,GT,55.333333333333336,55.333333333333336,5533.333333333334
Chahar,MI,28.0,28.0,2800.0
Conway,CSK,13.0,13.0,1300.0
Cummins,SRH,14.0,14.0,1400.0
Dhoni,CSK,25.333333333333332,25.333333333333332,2533.333333333333
Dhruv Jurel,RR,51.5,51.5,5150.0
Fraser-McGurk,DC,38.0,38.0,3800.0
Gaikwad,CSK,58.0,58.0,5800.0
Hardik Pandya,MI,27.0,27.0,2700.0
Harshal Patel,SRH,12.0,12.0,1200.0
Head,SRH,45.333333333333336,45.333333333333336,4533.333333333334
Hetmyer,RR,27.0,27.0,2700.0
Ishan Kishan,SRH,61.5,61.5,6150.0
Jadeja,CSK,24.666666666666668,24.666666666666668,2466.666666666667
Jaiswal,RR,48.0,48.0,4800.0
Jitesh Sharma,RCB,36.5,36.5,3650.0
Kamindu Mendis,SRH,27.0,27.0,2700.0
Klaasen,SRH,30.4,30.666666666666668,3040.0
Kohli,RCB,52.333333333333336,52.333333333333336,5233.333333333334
Livingstone,RCB,53.0,53.0,5300.0
Manish Pandey,KKR,19.0,19.0,1900.0
Markram,LSG,32.0,32.0,3200.0
Maxwell,PBKS,30.0,30.0,3000.0
Miller,LSG,24.333333333333332,24.333333333333332,2433.333333333333
Mitchell Marsh,LSG,61.333333333333336,61.333333333333336,6133.333333333334
Moeen Ali,KKR,5.0,5.0,500.0
Mulder,SRH,9.0,9.0,900.0
Naman Dhir,MI,27.0,27.0,2700.0
Narine,KKR,44.0,44.0,4400.0
Nehal Wadhera,PBKS,52.5,52.5,5250.0
Nitish Rana,RR,81.0,81.0,8100.0
Nitish Reddy,SRH,28.0,27.333333333333332,2800.0
Padikkal,RCB,24.666666666666668,24.666666666666668,2466.666666666667
Pant,LSG,15.0,15.0,1500.0
Phil Salt,RCB,34.0,34.0,3400.0
Pooran,LSG,63.0,63.0,6300.0
Prabhsimran,PBKS,43.0,43.0,4300.0
Priyansh Arya,PBKS,47.0,47.0,4700.0
Rahane,KKR,37.333333333333336,37.333333333333336,3733.3333333333335
Rahul,DC,77.0,77.0,7700.0
Rajat Patidar,RCB,40.25,42.333333333333336,4025.0
Ramandeep Singh,KKR,22.0,22.0,2200.0
Ravindra,CSK,53.0,53.0,5300.0
Rickelton,MI,28.333333333333332,28.333333333333332,2833.333333333333
Rinku Singh,KKR,20.333333333333332,20.333333333333332,2033.3333333333333
Riyan Parag,RR,35.0,35.0,3500.0
Robin Minz,MI,3.0,3.0,300.0
Rohit,MI,13.0,13.0,1300.0
Russell,KKR,5.0,5.0,500.0
Rutherford,GT,32.25,27.666666666666668,3225.0
Sai Sudharsan,GT,47.75,39.0,4775.0
Sam Curran,CSK,8.0,8.0,800.0
Sameer Rizvi,DC,20.0,20.0,2000.0
Samson,RR,34.25,23.666666666666668,3425.0
Santner,MI,11.0,11.0,1100.0
Shankar,CSK,69.0,69.0,6900.0
Shashank Singh,PBKS,27.0,27.0,2700.0
Shivam Dube,CSK,18.333333333333332,18.333333333333332,1833.3333333333333
Shreyas Iyer,PBKS,74.5,74.5,7450.0
Shubham Dubey,RR,21.5,21.5,2150.0
Shubman Gill,GT,36.5,37.666666666666664,3650.0
Stoinis,PBKS,20.0,20.0,2000.0
Stubbs,DC,26.333333333333332,26.333333333333332,2633.333333333333
Suryakumar Yadav,MI,43.0,47.666666666666664,4300.0
Tilak Varma,MI,37.75,40.0,3775.0
Tim David,RCB,32.0,32.0,3200.0
Tripathi,CSK,23.0,23.0,2300.0
Venkatesh Iyer,KKR,60.0,60.0,6000.0
Vipraj Nigam,DC,39.0,39.0,3900.0
Washington Sundar,GT,49.0,49.0,4900.0
Will Jacks,MI,19.0,19.0,1900.0
de Kock,KKR,97.0,97.0,9700.0
du Plessis,DC,39.5,39.5,3950.0
