striker,match_id,venue,team,runs,balls,fours,sixes
Abdul Samad,202507,"Rajiv Gandhi International Stadium, Hyderabad",LSG,22,8,2,2
Abdul Samad,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,27,12,2,2
Abdul Samad,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,4,2,1,0
Abhinav Manohar,202502,"Rajiv Gandhi International Stadium, Hyderabad",SRH,0,1,0,0
Abhinav Manohar,202507,"Rajiv Gandhi International Stadium, Hyderabad",SRH,2,6,0,0
Abhinav Manohar,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SRH,4,6,0,0
Abhishek Sharma,202502,"Rajiv Gandhi International Stadium, Hyderabad",SRH,24,11,5,0
Abhishek Sharma,202507,"Rajiv Gandhi International Stadium, Hyderabad",SRH,6,6,1,0
Abhishek Sharma,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SRH,1,1,0,0
Abhishek Sharma,202515,"Eden Gardens, Kolkata",SRH,2,6,0,0
Abhishek Sharma,202519,"Rajiv Gandhi International Stadium, Hyderabad",SRH,18,16,4,0
Abishek Porel,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,0,2,0,0
Abishek Porel,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,34,18,2,2
Abishek Porel,202517,"MA Chidambaram Stadium, Chennai",DC,33,20,4,1
Akash Deep,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,0,1,0,0
Angkrish Raghuvanshi,202501,"Eden Gardens, Kolkata",KKR,30,22,2,1
Angkrish Raghuvanshi,202506,"Barsapara Cricket Stadium, Guwahati",KKR,22,17,2,0
Angkrish Raghuvanshi,202512,"Wankhede Stadium, Mumbai",KKR,26,16,3,1
Angkrish Raghuvanshi,202515,"Eden Gardens, Kolkata",KKR,50,32,5,2
Aniket Verma,202502,"Rajiv Gandhi International Stadium, Hyderabad",SRH,7,3,0,1
Aniket Verma,202507,"Rajiv Gandhi International Stadium, Hyderabad",SRH,36,14,0,5
Aniket Verma,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SRH,74,42,5,6
Aniket Verma,202515,"Eden Gardens, Kolkata",SRH,6,8,1,0
Aniket Verma,202519,"Rajiv Gandhi International Stadium, Hyderabad",SRH,18,14,2,0
Arshad Khan,202505,"Narendra Modi Stadium, Ahmedabad",GT,1,1,0,0
Arshdeep Singh,202518,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",PBKS,1,5,0,0
Ashutosh Sharma,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,66,31,5,5
Ashutosh Sharma,202517,"MA Chidambaram Stadium, Chennai",DC,1,1,0,0
Ashwin,202508,"MA Chidambaram Stadium, Chennai",CSK,11,8,1,0
Avesh Khan,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,0,1,0,0
Avesh Khan,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,2,2,0,0
Axar,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,22,11,3,1
Axar,202517,"MA Chidambaram Stadium, Chennai",DC,21,14,2,1
Ayush Badoni,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",LSG,4,5,0,0
Ayush Badoni,202507,"Rajiv Gandhi International Stadium, Hyderabad",LSG,6,6,1,0
Ayush Badoni,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,41,35,1,3
Ayush Badoni,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,30,20,4,0
Azmatullah,202505,"Narendra Modi Stadium, Ahmedabad",PBKS,16,15,2,1
Bhuvneshwar,202508,"MA Chidambaram Stadium, Chennai",RCB,0,2,0,0
Bhuvneshwar,202514,"M.Chinnaswamy Stadium, Bengaluru",RCB,1,3,0,0
Boult,202503,"MA Chidambaram Stadium, Chennai",MI,1,2,0,0
Boult,202520,"Wankhede Stadium, Mumbai",MI,1,2,0,0
Bumrah,202520,"Wankhede Stadium, Mumbai",MI,0,1,0,0
Buttler,202505,"Narendra Modi Stadium, Ahmedabad",GT,54,33,4,2
Buttler,202509,"Narendra Modi Stadium, Ahmedabad",GT,39,24,5,1
Buttler,202514,"M.Chinnaswamy Stadium, Bengaluru",GT,73,39,5,6
Buttler,202519,"Rajiv Gandhi International Stadium, Hyderabad",GT,0,3,0,0
Chahar,202503,"MA Chidambaram Stadium, Chennai",MI,28,15,2,2
Chahar,202520,"Wankhede Stadium, Mumbai",MI,0,1,0,0
Conway,202517,"MA Chidambaram Stadium, Chennai",CSK,13,14,1,0
Cummins,202502,"Rajiv Gandhi International Stadium, Hyderabad",SRH,0,1,0,0
Cummins,202507,"Rajiv Gandhi International Stadium, Hyderabad",SRH,18,4,0,3
Cummins,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SRH,2,7,0,0
Cummins,202515,"Eden Gardens, Kolkata",SRH,14,15,2,0
Cummins,202519,"Rajiv Gandhi International Stadium, Hyderabad",SRH,22,9,3,1
Dhoni,202503,"MA Chidambaram Stadium, Chennai",CSK,0,2,0,0
Dhoni,202508,"MA Chidambaram Stadium, Chennai",CSK,30,16,3,2
Dhoni,202511,"Barsapara Cricket Stadium, Guwahati",CSK,16,12,1,1
Dhoni,202517,"MA Chidambaram Stadium, Chennai",CSK,30,28,1,1
Dhruv Jurel,202502,"Rajiv Gandhi International Stadium, Hyderabad",RR,70,37,5,6
Dhruv Jurel,202506,"Barsapara Cricket Stadium, Guwahati",RR,33,28,5,0
Dhruv Jurel,202511,"Barsapara Cricket Stadium, Guwahati",RR,3,7,0,0
Dhruv Jurel,202518,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",RR,13,5,1,1
Ferguson,202518,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",PBKS,4,1,1,0
Fraser-McGurk,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,1,2,0,0
Fraser-McGurk,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,38,32,4,2
Fraser-McGurk,202517,"MA Chidambaram Stadium, Chennai",DC,0,5,0,0
Gaikwad,202503,"MA Chidambaram Stadium, Chennai",CSK,53,26,6,3
Gaikwad,202508,"MA Chidambaram Stadium, Chennai",CSK,0,4,0,0
Gaikwad,202511,"Barsapara Cricket Stadium, Guwahati",CSK,63,44,7,1
Gaikwad,202517,"MA Chidambaram Stadium, Chennai",CSK,5,5,1,0
Hardik Pandya,202509,"Narendra Modi Stadium, Ahmedabad",MI,11,17,1,0
Hardik Pandya,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MI,28,16,2,1
Hardik Pandya,202520,"Wankhede Stadium, Mumbai",MI,42,17,3,4
Harshal Patel,202507,"Rajiv Gandhi International Stadium, Hyderabad",SRH,12,11,0,0
Harshal Patel,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SRH,5,9,0,0
Harshal Patel,202515,"Eden Gardens, Kolkata",SRH,3,6,0,0
Harshit Rana,202501,"Eden Gardens, Kolkata",KKR,5,6,1,0
Harshit Rana,202512,"Wankhede Stadium, Mumbai",KKR,4,8,0,0
Hasaranga,202506,"Barsapara Cricket Stadium, Guwahati",RR,4,4,0,0
Hasaranga,202511,"Barsapara Cricket Stadium, Guwahati",RR,4,5,0,0
Head,202502,"Rajiv Gandhi International Stadium, Hyderabad",SRH,67,34,9,3
Head,202507,"Rajiv Gandhi International Stadium, Hyderabad",SRH,47,29,5,3
Head,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SRH,22,13,4,0
Head,202515,"Eden Gardens, Kolkata",SRH,4,2,1,0
Head,202519,"Rajiv Gandhi International Stadium, Hyderabad",SRH,8,5,2,0
Hetmyer,202502,"Rajiv Gandhi International Stadium, Hyderabad",RR,42,26,1,4
Hetmyer,202506,"Barsapara Cricket Stadium, Guwahati",RR,7,9,1,0
Hetmyer,202511,"Barsapara Cricket Stadium, Guwahati",RR,19,18,1,1
Hetmyer,202518,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",RR,20,12,2,1
Hooda,202503,"MA Chidambaram Stadium, Chennai",CSK,3,5,0,0
Hooda,202508,"MA Chidambaram Stadium, Chennai",CSK,4,9,1,0
Ishan Kishan,202502,"Rajiv Gandhi International Stadium, Hyderabad",SRH,106,51,11,6
Ishan Kishan,202507,"Rajiv Gandhi International Stadium, Hyderabad",SRH,0,1,0,0
Ishan Kishan,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SRH,2,5,0,0
Ishan Kishan,202515,"Eden Gardens, Kolkata",SRH,2,6,0,0
Ishan Kishan,202519,"Rajiv Gandhi International Stadium, Hyderabad",SRH,17,15,2,0
Jadeja,202503,"MA Chidambaram Stadium, Chennai",CSK,17,18,1,0
Jadeja,202508,"MA Chidambaram Stadium, Chennai",CSK,25,20,2,1
Jadeja,202511,"Barsapara Cricket Stadium, Guwahati",CSK,32,24,2,1
Jadeja,202517,"MA Chidambaram Stadium, Chennai",CSK,2,3,0,0
Jaiswal,202502,"Rajiv Gandhi International Stadium, Hyderabad",RR,1,6,0,0
Jaiswal,202506,"Barsapara Cricket Stadium, Guwahati",RR,29,24,2,2
Jaiswal,202511,"Barsapara Cricket Stadium, Guwahati",RR,4,3,1,0
Jaiswal,202518,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",RR,67,47,3,5
Jamie Overton,202511,"Barsapara Cricket Stadium, Guwahati",CSK,11,4,0,1
Jitesh Sharma,202508,"MA Chidambaram Stadium, Chennai",RCB,12,6,1,1
Jitesh Sharma,202514,"M.Chinnaswamy Stadium, Bengaluru",RCB,33,21,5,1
Jitesh Sharma,202520,"Wankhede Stadium, Mumbai",RCB,40,20,2,4
Jofra Archer,202502,"Rajiv Gandhi International Stadium, Hyderabad",RR,1,1,0,0
Jofra Archer,202506,"Barsapara Cricket Stadium, Guwahati",RR,16,8,0,2
Jofra Archer,202511,"Barsapara Cricket Stadium, Guwahati",RR,0,2,0,0
Kamindu Mendis,202515,"Eden Gardens, Kolkata",SRH,27,20,1,2
Kamindu Mendis,202519,"Rajiv Gandhi International Stadium, Hyderabad",SRH,1,5,0,0
Kartikeya,202511,"Barsapara Cricket Stadium, Guwahati",RR,1,1,0,0
Klaasen,202502,"Rajiv Gandhi International Stadium, Hyderabad",SRH,34,14,5,1
Klaasen,202507,"Rajiv Gandhi International Stadium, Hyderabad",SRH,26,18,2,1
Klaasen,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SRH,32,20,2,2
Klaasen,202515,"Eden Gardens, Kolkata",SRH,33,21,2,2
Klaasen,202519,"Rajiv Gandhi International Stadium, Hyderabad",SRH,27,19,2,1
Kohli,202501,"Eden Gardens, Kolkata",RCB,59,36,4,3
Kohli,202508,"MA Chidambaram Stadium, Chennai",RCB,31,31,2,1
Kohli,202514,"M.Chinnaswamy Stadium, Bengaluru",RCB,7,6,1,0
Kohli,202520,"Wankhede Stadium, Mumbai",RCB,67,43,8,2
Krunal Pandya,202508,"MA Chidambaram Stadium, Chennai",RCB,0,4,0,0
Krunal Pandya,202514,"M.Chinnaswamy Stadium, Bengaluru",RCB,5,5,1,0
Kuldeep Yadav,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,5,5,1,0
Livingstone,202501,"Eden Gardens, Kolkata",RCB,15,5,2,1
Livingstone,202508,"MA Chidambaram Stadium, Chennai",RCB,10,9,0,1
Livingstone,202514,"M.Chinnaswamy Stadium, Bengaluru",RCB,53,39,1,5
Livingstone,202520,"Wankhede Stadium, Mumbai",RCB,0,3,0,0
Livingstone 1 run,202514,"M.Chinnaswamy Stadium, Bengaluru",RCB,1,1,0,0
Manish Pandey,202512,"Wankhede Stadium, Mumbai",KKR,19,14,2,1
Marco Jansen,202518,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",PBKS,3,7,0,0
Markram,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",LSG,15,13,1,1
Markram,202507,"Rajiv Gandhi International Stadium, Hyderabad",LSG,1,4,0,0
Markram,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,28,18,4,1
Markram,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,53,42,2,4
Maxwell,202505,"Narendra Modi Stadium, Ahmedabad",PBKS,0,1,0,0
Maxwell,202518,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",PBKS,30,22,3,1
Miller,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",LSG,27,20,1,2
Miller,202507,"Rajiv Gandhi International Stadium, Hyderabad",LSG,13,7,2,0
Miller,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,19,18,3,0
Miller,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,27,14,3,1
Mitchell Marsh,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",LSG,72,38,6,6
Mitchell Marsh,202507,"Rajiv Gandhi International Stadium, Hyderabad",LSG,52,34,7,2
Mitchell Marsh,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,0,1,0,0
Mitchell Marsh,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,60,33,9,2
Mitchell Starc,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,2,5,0,0
Moeen Ali,202506,"Barsapara Cricket Stadium, Guwahati",KKR,5,14,0,0
Mohit Sharma,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,1,2,0,0
Mulder,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SRH,9,12,1,0
Naman Dhir,202503,"MA Chidambaram Stadium, Chennai",MI,17,12,1,0
Naman Dhir,202509,"Narendra Modi Stadium, Ahmedabad",MI,18,12,3,0
Naman Dhir,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MI,46,24,4,3
Naman Dhir,202520,"Wankhede Stadium, Mumbai",MI,11,6,1,1
Narine,202501,"Eden Gardens, Kolkata",KKR,44,28,5,3
Narine,202512,"Wankhede Stadium, Mumbai",KKR,0,2,0,0
Narine,202515,"Eden Gardens, Kolkata",KKR,7,7,0,1
Nehal Wadhera,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",PBKS,43,25,3,4
Nehal Wadhera,202518,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",PBKS,62,42,4,3
Nitish Rana,202502,"Rajiv Gandhi International Stadium, Hyderabad",RR,11,8,2,0
Nitish Rana,202506,"Barsapara Cricket Stadium, Guwahati",RR,8,9,0,0
Nitish Rana,202511,"Barsapara Cricket Stadium, Guwahati",RR,81,37,10,5
