bowler,match_id,venue,team,wickets,runs_conceded,balls,dot_balls
Abdul Samad,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,0,6,2,1
Abhishek Sharma,202502,"Rajiv Gandhi International Stadium, Hyderabad",SRH,0,17,12,6
Abhishek Sharma,202507,"Rajiv Gandhi International Stadium, Hyderabad",SRH,0,20,12,5
Abhishek Sharma,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SRH,0,27,18,4
Abhishek Sharma,202519,"Rajiv Gandhi International Stadium, Hyderabad",SRH,0,17,7,2
Akash Deep,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,1,45,25,8
Arshad Khan,202505,"Narendra Modi Stadium, Ahmedabad",GT,0,20,7,2
Arshad Khan,202514,"M.Chinnaswamy Stadium, Bengaluru",GT,1,16,13,7
Arshdeep Singh,202505,"Narendra Modi Stadium, Ahmedabad",PBKS,3,36,24,11
Arshdeep Singh,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",PBKS,3,40,26,10
Arshdeep Singh,202518,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",PBKS,1,34,25,11
Ashwani Kumar,202512,"Wankhede Stadium, Mumbai",MI,4,22,20,12
Ashwani Kumar,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MI,1,37,20,7
Ashwin,202503,"MA Chidambaram Stadium, Chennai",CSK,1,31,24,6
Ashwin,202508,"MA Chidambaram Stadium, Chennai",CSK,1,21,13,4
Ashwin,202511,"Barsapara Cricket Stadium, Guwahati",CSK,1,45,25,7
Ashwin,202517,"MA Chidambaram Stadium, Chennai",CSK,0,21,18,4
Avesh Khan,202507,"Rajiv Gandhi International Stadium, Hyderabad",LSG,1,45,24,5
Avesh Khan,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,0,29,19,6
Avesh Khan,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,1,39,25,9
Axar,202504,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,0,18,18,7
Axar,202510,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,0,43,24,7
Axar,202517,"MA Chidambaram Stadium, Chennai",DC,0,5,6,1
Azmatullah,202505,"Narendra Modi Stadium, Ahmedabad",PBKS,0,29,12,3
Bhuvneshwar,202508,"MA Chidambaram Stadium, Chennai",RCB,1,19,19,10
Bhuvneshwar,202514,"M.Chinnaswamy Stadium, Bengaluru",RCB,1,23,24,12
Bhuvneshwar,202520,"Wankhede Stadium, Mumbai",RCB,1,47,25,10
Boult,202503,"MA Chidambaram Stadium, Chennai",MI,0,26,19,5
Boult,202509,"Narendra Modi Stadium, Ahmedabad",MI,1,34,24,6
Boult,202512,"Wankhede Stadium, Mumbai",MI,1,23,24,14
Boult,202516,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MI,1,28,18,8
Boult,202520,"Wankhede Stadium, Mumbai",MI,2,55,26,10
Bumrah,202520,"Wankhede Stadium, Mumbai",MI,0,29,24,5
Chahal,202505,"Narendra Modi Stadium, Ahmedabad",PBKS,0,33,19,5
Chahal,202513,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",PBKS,1,36,24,8
Chahal,202518,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",PBKS,0,27,19,3
Chahar,202503,"MA Chidambaram Stadium, Chennai",MI,1,18,12,5
Chahar,202509,"Narendra Modi Stadium, Ahmedabad",MI,2,37,26,11
Chahar,202512,"Wankhede Stadium, Mumbai",MI,2,18,13,7
