match_id,venue,batting_team,bowling_team,total_runs,avg_runs,max_runs,wickets,deliveries
202201,"Wankhede Stadium, Mumbai",CSK,KKR,125,0.9920634920634921,6,5,5
202201,"Wankhede Stadium, Mumbai",KKR,CSK,129,1.162162162162162,6,4,4
202202,"Brabourne Stadium, Mumbai",DC,MI,168,1.435897435897436,6,6,6
202202,"Brabourne Stadium, Mumbai",MI,DC,174,1.4262295081967213,6,5,5
202203,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,186,1.4761904761904763,6,5,5
202203,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,182,1.4330708661417322,6,2,2
202204,"Wankhede Stadium, Mumbai",GT,LSG,152,1.256198347107438,6,5,5
202204,"Wankhede Stadium, Mumbai",LSG,GT,154,1.2419354838709677,6,6,6
202205,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,196,1.5076923076923077,6,6,6
202205,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,139,1.112,6,7,7
202206,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,122,1.0608695652173914,6,10,10
202206,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,118,0.9752066115702479,6,7,7
202207,"Brabourne Stadium, Mumbai",CSK,LSG,195,1.5853658536585367,6,7,7
202207,"Brabourne Stadium, Mumbai",LSG,CSK,193,1.496124031007752,6,4,4
202208,"Wankhede Stadium, Mumbai",KKR,PBKS,135,1.4673913043478262,6,4,4
202208,"Wankhede Stadium, Mumbai",PBKS,KKR,126,1.0677966101694916,6,10,10
202209,"Dr DY Patil Sports Academy, Mumbai",MI,RR,159,1.2230769230769232,6,7,8
202209,"Dr DY Patil Sports Academy, Mumbai",RR,MI,182,1.4444444444444444,6,8,8
202210,"Maharashtra Cricket Association Stadium, Pune",DC,GT,146,1.1869918699186992,6,9,9
202210,"Maharashtra Cricket Association Stadium, Pune",GT,DC,164,1.3225806451612903,6,6,6
202211,"Brabourne Stadium, Mumbai",CSK,PBKS,122,1.0892857142857142,6,10,10
202211,"Brabourne Stadium, Mumbai",PBKS,CSK,166,1.2481203007518797,6,8,8
202212,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,165,1.3636363636363635,6,6,7
202212,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,147,1.1666666666666667,6,9,9
202213,"Wankhede Stadium, Mumbai",RCB,RR,163,1.3360655737704918,6,6,6
202213,"Wankhede Stadium, Mumbai",RR,RCB,161,1.288,6,3,3
202214,"Maharashtra Cricket Association Stadium, Pune",KKR,MI,159,1.6391752577319587,6,5,5
202214,"Maharashtra Cricket Association Stadium, Pune",MI,KKR,158,1.3057851239669422,6,4,4
202215,"Dr DY Patil Sports Academy, Mumbai",DC,LSG,143,1.153225806451613,6,3,3
202215,"Dr DY Patil Sports Academy, Mumbai",LSG,DC,149,1.221311475409836,6,4,4
202216,"Brabourne Stadium, Mumbai",GT,PBKS,183,1.4758064516129032,6,4,4
202216,"Brabourne Stadium, Mumbai",PBKS,GT,185,1.5040650406504066,6,9,9
202217,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,149,1.192,6,7,7
202217,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,151,1.3727272727272728,6,2,2
